fail to login or register,Will not let me sign-up keeps popping up no network error
app ranking fraud,"Why are there so many good reviews? I was flashed back as soon as I downloaded it. I don't know if so many good reviews were brushed out	"
fail to install,"It can't be installed at all	"
vulgar content,Tons of child porn needs to.be taken down now
drive-by download,"Too many binding software	"
payment deception,"Prices are always off and the new update makes it nearly impossible for anyone to find their vehicle do not rely or depend on this app or site you will.over pay on your car no if ands or buts coming from a 21 year dealer just a heads up. And back to the update some things when simple but works, STILL WORKING SO WHY CHANGE ANYTHING! ?!"
vulgar content,"I have not personally seen the dark side of tiktok people are talking about. My daughter told me her boyfriend and her were flipping through it the other night and seen a toddler trying to _______ his mom!!!!! Wth??? If I seen that believe me I'm reporting anything bullying, racist or abusive."
vulgar content,This is amazing an talented people on here an celebrities amazing right cardi b Charlie demilio and Dixie demilio lil hudd famous singers an funny an creepy and you can make your own tick tock videos you can put them on drafts or you can put them on post drafts mean that nobody can see it post means that everybody can see it and like post share comment like followers you following smart kids smart everybody talented people a lot coloring creepy stories waxing makeup story time makeup story time.
vulgar content,Tiktok is nice but you should keep it fair. Blacks don't get as many views as whites. And you allow a lot of white supremacy on your app. Instagram does not allow that you have time out for things that are not necessary. I've been blocked about five times for defending myself against a racist..
fail to start,It doesnt even work !!
payment deception,Bad app..removing ability to make payment from this app and needing another app to make this payment is dumb.
payment deception,"My relative's mobile phone tail number 57 has been exchanged for a 50 yuan call card. Both the order and customer service have been successfully recharged. Why didn't I recharge it?	"
fail to install,"The prompt program cannot be installed. This program is bad and can be used in the front market	"
ad disruption,"Does Not Work, tons of ads."
vulgar content,I LOVE IT...works 100% its a very good app It is my fav app I highly recormend it but as it says 12+ there is sex stuff and cuss words but not that much
ad disruption,Dull gameplay plus too much ads
virus,Gave my son a virus
app repackaging,"There will be many cracked games in your next 7723 game box	"
fail to install,"Whether the upgrade has not returned the version number or changed the signature. The endless cycle upgrade cannot be installed	"
privacy or information leak,"What's wrong with the sudden loss of information in my and notes? How can I find it? emergency	"
fail to delete,"After the online banking login information is added, it cannot be deleted! I can't understand! No one dares to use the most basic sense of security! Look at the online banking direct connection information in the card cow data source. You can add or delete it at will! As an old user, I've been waiting for official optimization for so long, but I haven't changed the feedback, and no one pays attention to it! If the financing party has been kidnapped with us $400 million, what will it do to make money! We should know that those who get users have access to the world. Water can carry a boat and capsize a boat! If you can give 0 points, you must give 0 points!	"
excessive network traffic,"It's a big liar who can't log in to cheat mobile data	"
drive-by download,"The game is good, but the bundled software	"
virus,"The mobile phone virus is a high-risk program that has been killed	"
fail to login or register,"Only the horizontal screen verification code is blocked, and you can't log in at all. That's bullshit!	"
ad disruption,"Ads, ads, ads and ads"
ad disruption,To much f****ng advertised
excessive network traffic,"Garbage game! cheat mobile data! It can't be installed directly! I don't want to give half a star!!!!!!!	"
bad performance,"1. The regular QR code does not show that the network is unstable and slow, affecting the efficiency. 2. There are only one or two special code scanning machines at each subway entrance in Guangzhou. Not when each exit has input, the card swiping channels are not connected together. Shenzhen is integrated. When Guangzhou goes south, there is only one code scanning machine at six or seven subway entrances. The app developers and equipment operators are the same Someone with a hole in his head?	"
payment deception,"This is useless, wanted to pay for the game,  your support mails does not work. Make sure you refund"
vulgar content,"Very, worst app. I have never seen such app in my entire life. No sex videos, no explicit material. No nude content. This is such a disgusting app"
praise,"Very good, I want to find a software to brush questions according to chapters. This is very complete and has analytical praise!	"
ad disruption,"It doesn't work to block advertisements after the update	"
virus,it's good but it gave my phone a virus soon it's a warning hehe
permission abuse,"Some games need root permission, such as subway Parkour	"
fail to start,"Downloaded, installed and set up. What does it mean that it can't be opened??????	"
fail to delete,"Why does every uninstall prompt that the uninstall fails? The available memory size has not changed, but it is not in the uninstall list	"
fail to install,"It cannot be installed on SD card at all	"
payment deception,"Junk software costs 50 yuan a month without a few words. Don't download it if you cheat	"
fail to delete,"If you forget your password, you can't delete it. Why	"
vulgar content,its soooo good..just watch out for creeps ao u might wanna have ur page on private
vulgar content,"This game is poisonous. People on our side are watching it foolishly!	"
vulgar content,I love it a lot ?but if your kid is not a T.E.E.N your kid can be cat called . ?not a good idea . sexually assaulted . because my sister has been told that put your shirt up and also . can you do a hand stand so that their shirt can come up so adults if you don't want your kid to have Facebook page don't get this?it only for your kids safety first but it is a great app.???????????????????
ad disruption,full add
fail to start,Its not working after the update !
fail to install,"ZTE u930 cannot be installed	"
ad disruption,"The dregs are all advertisements	"
fail to install,"Installed and unusable	"
inconsistency between functionality and description,Not true to what advertised. No different than filters on your phone
fail to delete,"It can't be deleted!!!	"
fail to start,"I don't know how to start when game is installed	"
fail to start,This app crashes to much
fail to start,Not working please fix it
inconsistency between functionality and description,"The exchange items are different from the physical pictures. It's too rubbish. It's recommended not to exchange them. The quality is too poor. It's recommended to exchange cash. The customer service doesn't pay attention to the feedback	"
excessive network traffic,"Half a week without internet access, wasted Internet fees and bought a lot of traffic!!!!	"
bad performance,"My Wuhan all-in-one card can't be read. You can use NFC life pass software	"
ad disruption,Terrible app. Way too many ads.
vulgar content,It always makes my day. But there are some racist and not funny jokes on there but 99 percent are funny and enjoyable jokes.
fail to login or register,"I can't even get on, but I can hang up and turn the experience dial	"
fail to start,"Why can't it open & hellip;	"
ad disruption,"Advertising is a headache	"
fail to start,It keeps saying it stopped wotking
payment deception,It worked twice the started having problem especially after I brought the app.  Sad story feel cheated. Careful where you spend your money
illegal background behavior,software always run in the background
praise,"Useful. Those software that always run in the background are banned	"
fail to login or register,Would Keep Saying No Internet Signal and not let me sign up
bad performance,"The mobile phone crashes perfectly~~~~ (>_<)~~~~	"
bad performance,"Card machine	"
drive-by download,Let you download his game
payment deception,"automatically send text messages in the game inexplicably, and deduct 10 yuan"
illegal redirection,"Let you download his game, play it for 3 minutes, activate it for free, and then automatically send text messages in the game inexplicably, and deduct 10 yuan	"
bad performance,"Millet note often crashes	"
payment deception,"What kind of dog JB thing bucks money	"
vulgar content,"It's pretty bloody	"
drive-by download,So um... basically i hv the normal tiktok...and its annoying because it keep on deleting my vids? So yea i downloaded TIKTOK+MUSICALLY!!
virus,"Bad garbage has virus	"
fail to delete,"It doesn't take up much memory, and there are garbage plug-ins that can't be deleted	"
fail to start,Keep stopping
ad disruption,No movies at all just trailers and a million ads
fail to install,Plz fix it us not letting me install it for some reason but the app is very good but not the people really
vulgar content,so initially I thought Tik Tok was a kid app I downloaded it for my kid however I must say that I truly enjoy sex. I have learned quite a bit from Tik Tok and I'm learning more everyday met some nice people interact with some people I know but are far away I like to talk
illegal background behavior, garbage software run in the background
privacy or information leak,"Data is easy to be lost, and garbage software cannot be run in the background	"
fail to login or register,"If the verification code can't see such low-level mistakes, it will also make mistakes. The engineers outsourced by ICBC are really hopeless. It's sad that the PC version of postal bank has a bird like computer display that is not 16:9	"
fail to retrieve content,Only white screen
permission abuse,"Samsung Galaxy Tab E with Nougat update will not give permission to enable USB OTG with this app, other option needed"
ad disruption,Riddled with advertising that it is hard to actually use. Gone are the days this was a useful app.
fail to login or register,"I don't know if I can withdraw cash and install it for three days. It's very difficult to use. I can't sign in. I'd better unload it	"
praise,"Although it is not perfect, for example, it is impossible to import online banking of Ping An and GF, there is really nothing better than him	"
virus,"Dead garbage rampant virus software	"
fail to install,Amazing this is the greatest game it won't let me install it though
fail to install,"The update can't be installed... What's the prompt for the update	"
fail to start,Is not working
fail to start,"It's so bad that the screen is black as soon as you go in	"
virus,"It's not fun. It doesn't have the nature of badminton, and it will download and install indiscriminately. The original price is toxic. I don't want to give it a star	"
payment deception,Why do you HAVE to PAY?It is supposed to be free!
bad performance,"Cards sometimes don't make people vomit when they're angry with the card machine	"
app repackaging,"It's a pirated pop pong	"
fail to login or register,"TikTok is awesome app, its give me alots But there is getting some problem in login to my tiktok account. Actually I forget my password and try to change my password with help of my gmail account but 6-digit opt n.o or message not sent to my gmail from tiktok. So plz help me what to do, how to login, plz help me? I don't want to make new accounts nd all, plz help me in login and how to change password plzz????"
bad performance,I was using tiktok for many months in new update my phone being slow so i deleted and when want to reinstall .it will download and gives me a error evertime (can't install tiktok) kindly fix this problem or give me some suggestion Thank you.
ad disruption,To many ads. Cant find anything out without having to go through so many ads to get through it
ad disruption,Wat is it with all the ads the setup is so dumb just change it
fail to login or register,This app wont let me pass the sign in page
inconsistency between functionality and description,Not the same as advertised
ad disruption,It sucks cause I rather watch and ad for coins than use my own money
virus,is it virus infected app??
vulgar content,it showed filters like being able to make your face on fire
ad disruption,"The ad video was on a game, it showed filters like being able to make your face on fire, ect, the video wasnt realistic."
app repackaging,cheating apps
ad disruption,cheating apps that only show advertising to collect money
permission abuse,"I want this, but its so many permission just to fit this one app on my phone. I have to erase many more apps."
virus,"Is February 24, 2017 toxic? Obviously, it is an anniversary day. It has always been shown that the mobile phone has been restarted many times in the countdown day of February 24, 2019. There are such bad comments!	"
praise,best thing i ever saw in the world keep it in the app store donot let anyone delete it if they do download it back
ad disruption,Not even withstand /keep it for two minutes. So many ads that could not even start the app. Unstalled it for ever
vulgar content,"It always has something funny, sexy or interesting for me, i love it!"
inconsistency between functionality and description,"It's a really inconsistent app now. Not the app itself. It's a user friendly interface. No complaint against the developer. My first-time in 2018, was pretty good. I matched with different ppl around the areas that I preferred. Chatted and dated. Now, there seems to be a very limited amount of users. I matched with close to a dozen ppl, though no response. Literally one of the ten initiated a conversation. She unmatched within an hour. I was at work. ???"
illegal redirection,"It's terrible after the update. You have to install plug-ins to play!	"
permission abuse,This is an amazing app but you need permission to use not to put you off but it does chew your storage up . FIVE STARS THOUGH ??amazing app !!!!???????????
vulgar content,"I really love this app this app is so funny ,sweet and sex my favorite app whole world ???????"
excessive network traffic,"Too bad what? Defrauding network traffic, it is recommended that you don't download too much	"
praise,"The software is very good. It can be recommended that the software containing score deduction trojan virus is also specially marked with 360 security certification. If it is really safe, how to contain Trojan horse; If you haven't certified the software, you can design deception. In contrast, you still trust 360. After all, it has been used for many years	"
ad disruption,I HATE IT BECAUSE WHEN EVER I PLAY OR WATCH SOMETHING ADS KEEP APPEARING
bad performance,"Why can't I play with the old card on my mobile phone!	"
vulgar content,It is awesome my friends have it and I get to contact with them and see the really awesome videos and the filters are great even the sounds even though it's creepy it's great even the filters one of them scared me to death I really really am a big fan of the sound and the filters they are the awesomest ones I ever seen even my cousin agrees with me her name is Emily Ortega she's one of the best I know even the Voltron cosplay does the best thank you I'm sorry it's long but but thank you you're awesome
payment deception,Its crazy i have to pay doe the app seriously
payment deception,U have to pay for it wat!!!!
fail to install,"Why can't I install it after the update	"
app ranking fraud,"Bad comments can't even be posted on the spam app	"
fail to retrieve content,"Last time I gave him a praise, this time he was shameless, and there was a blank after opening. It's fucking no face song. It's fucking enough	"
virus,"It's rubbish! It's rubbish! It's rubbish! It's the virus that took over my mobile screen. What the fuck is fixed screen bullshit! Uninstall uninstall!	"
praise,"Fast, easy to use	"
app ranking fraud,"Not at all. Praise is brushed, isn't it	"
payment deception,"Fake cheat you to spend money	"
fail to retrieve content,Does NOT load
illegal background behavior,App  hides  deceptively
payment deception,App  hides  payment  deceptively
fail to login or register,Keeps saying error when logging in
app repackaging,"If you don't have money to buy a car, you can have the next cracked version. Ha ha	"
drive-by download,It amazing I love you aroha it's Aali you you next time it is not letting me download it
vulgar content,App stopped uploading my videos I shared my nipple piercings it's not in a sexual manner it's a piercing on a body
inconsistency between functionality and description,very inaccurate
ad disruption,Worst app ever too many  ads and very inaccurate
excessive network traffic,"Traffic cheating game day	"
fail to install,"The download needs to be updated and cannot be installed	"
fail to login or register,"Why can't I go up there? It says & ldquo; You create the role of Locke & rdquo;	"
ad disruption,Full of invasive ads!
privacy or information leak,"It's very easy to use. It's just that there's no data after brushing the machine	"
vulgar content,Not enough banning of bots and fakes and pedophiles.
vulgar content,"??The program is nice, but there are racist people. Please solve the problem."
bad performance,"Very slow response, often stuck fast function, practical interface, simple flash back response, very slow response, very slow response, very slow response, very slow response, very slow response, very slow response, very slow response, very slow response, very slow response, very slow response, very slow response, very slow response, very slow response, very slow response, very slow response	"
fail to install,"Not compatible with Android 7.0! Hope to optimize soon!	"
privacy or information leak,What crap is playing? All your information is exposed. 
fail to delete,"What crap is playing? You can't delete it if you want to delete it. Shit	"
privacy or information leak,"The data that has been backed up and restored before is in disorder, okay? I've lost so much information before	"
fail to start,This app crashes a lot.
fail to login or register,"All this app can do is reset itself and nothing more, not even sign in."
permission abuse,"If you don't register, you need this permission. Is the designer a jerk or a fool	"
bad performance,"Card? Is it your mobile phone garbage?	"
payment deception,"Sometimes the capital turnover is not up to date for half a month. I can't think of all kinds of phone harassment, SMS threats and threats. I just want to say that there is no overdue fee. The overdue fee is still very high. Cao Cao's loan is a disguised usury. Who borrows it to try to be overdue for a few days to make sure that all people in your mobile phone know that it will make you have no dignity, and you will pay it back when you are overdue Not to worry, coupled with the threat of telephone harassment, you will be in no mood for work, and the mental state of the whole person is very poor. Here, as long as you work hard, your work life will always get better, and staying away from online loans is tantamount to staying away from drugs	"
praise,I love this app Love it I will delete anything for this app . Download right now
fail to install,"The game scene is almost the same. Generally, you can't trade version 1.30. You can't download it and install it	"
permission abuse,"I feel that the advertising plug-in is not good! That's the rest! Don't crack the permission. It's OK to use it. Don't click the advertising plug-in. Just wait	"
drive-by download,I have to download another app to get the pics?!????!!!!!
payment deception,I wanted to see if my sister blocked me or not and it said that I have to pay for
virus,"It's not fun. There's a virus	"
fail to retrieve content,"Waste of time, network error messages sll the time. Deactivated and uninstalled."
virus,"Garbage game Super mud? I just played it. I found a virus mud after I retired. Fortunately, my mobile phone is deep	"
vulgar content,"Love it! I get lost in it and it cracks me up, pulls at my heart, and even creeps me out. Great entertainment for sure!"
bad performance,"What's the situation of being stuck in mobile phone authentication all the time? Other companies can authenticate, but you can't	"
bad performance,"It's hard to use any software. I don't know whether it can be used or not. This kind of company will die. There's no doubt that other free phone calls are good and calls are free	"
app repackaging,Copy from gta
virus,"Trojan horse after update	"
inconsistency between functionality and description,"2 stars because it gives you heaps of matches in the first day, then literally nothing after that - keeps telling you to expand you search criteria. Expensive compared to other dating apps that provide more options to match. Do not like the word limit on the 'describe yourself' part of the app - very restrictive."
fail to start,Kept crashing.
bad performance,"Dead card servers can't work. There's no difference between mobile phones. There's no card for big games. That's the game card	"
fail to retrieve content,No internet always even you have connection i cant upload pictures
privacy or information leak,"The biggest problem is that you can't back up locally. Once you brush the machine, you won't have it. Everything else is good	"
fail to login or register,"It looks good, but I can't log in	"
vulgar content,Idk it told me to rate a 5 star so I did ? see 2020 me was funny in 2020 now I'm homophobic and slightly racist ??
excessive network traffic,"Swindlers cheat mobile data and don't want to give it a star	"
payment deception,"**Arbitrary deduction of money	"
fail to retrieve content,"Useless, does not start on samsung s6 tablet. Error 404, tablet works 100 percent with all else!"
fail to install,"Bad download finished, can not install the new memory card	"
vulgar content,It took me a min to figure out the game with this app. A wide variety of themes and lots of celebrities. I would use it to work out. The graphics is next world like. It's just a little creepy at first.
fail to start,This app sucks every time I try to app text it tells me unfortunately pocket video had stoped
fail to start,Constantly closes
payment deception,Why do we need to pay???
vulgar content,Really great but I ran in to 2 creeps so I'm a lil scared
fail to retrieve content,"Except English, Chinese is blank	"
virus,"Garbage can't be used without saying that trojan software is installed in private	"
ad disruption,Way too many ads. Its actually ridiculous 2 unskippable ads between a game. Dont waste your time
fail to start,The app constantly crashes on Galaxy S8.
fail to start,It doesnt work. ... needs to be configured???
fail to install,"Why not compatible with Android version 7.0?	"
fail to start,This app does not work with latest build. Therefore a complete waste of money. If you want to make calls.  Text only works. Very disappointing.
app repackaging,"The cracked version is useless	"
drive-by download,"Be careful not to prompt you to download things after installation Click back and there will be no problem of rogue software mentioned upstairs It's best not to update	"
praise,"It's really easy to use. Previously, I wanted to draw comics for P material, but after using it, I found that it's really good, but I don't know what's the matter recently. There's no system problem with the mobile phone that always changes cards, right	"
virus,"It's rubbish. It's recommended to install software with viruses	"
fail to delete,I cant unstall it would not let me i had to go to the appstore and unstall it
fail to start,"What's the meaning of black screen after updating	"
app repackaging,"Is your praise the biggest crack version (invincible version) for the author? If you feel good in return, praise TA	"
fail to delete,"Isn't it impossible to uninstall? How can it be easily unloaded by children?	"
vulgar content,Thanks bhai I have a sexy pic and then I can get it in the mail tomorrow I will send you an email with the details of the morning to you too and your family a very happy and prosperous and healthy New year to you too I love it when I get home and let you know when I'm leaving the morning and I will be at the office tomorrow I will be in the morning and get the rest will help you with the details I phone you can go back to the doctor and then tomorrow we will be there for the interview on the mar
fail to install,"Android 7 doesn't work anymore	"
bad performance,"Garbage is easy to crash and hard to use	"
illegal redirection,"You can only use it after you get off the go desktop	"
virus,I think this app is a waste of space because it has been 6 weeks and still came up with I had a virus. Do not fall into there TRAP
payment deception,"Shit, I borrowed the limit of 200 you gave me. Since you didn't punch me in? Tell me, since the app shows that the payment has been made, tell me where you went?	"
fail to install,"Garbage cannot be installed with grass	"
fail to retrieve content,"After the system is updated, many functions of my home are blank	"
praise,"Tik tok is better than fb, insta, and twitter, all of it! Social media at its finest. Making superstars of every Jo blogs Toms, dicks and Harrys! I love tik tok. Get involved xx"
fail to install,"B htcg23 cannot be installed	"
ad disruption,"One star conscience protection software has always been like this. If it is updated, strengthen the advertising function. Now many page advertisements and watching video advertisements are very annoying	"
fail to login or register,i love ot but i delete the app and download back it wouldnt let me make an new account. PLZ HELP !
fail to install,"Garbage can not afford to install!!! garbage	"
fail to login or register,"No one can register, no one can give a star	"
fail to install,"Why can't you install it! neuropathy!!	"
vulgar content,I love tik tok sex video
fail to login or register,"Garbage can't be seen without registering	"
virus,"It's really hard to use. I wonder if it's a Trojan horse	"
vulgar content,It's fun and stuff but there's to many idiot s being racist and homophobic
bad performance,"The card machine cannot be opened	"
fail to start,"Hehe, if you can't play, you can't be safe	"
fail to delete,"If someone basically has a javascript cookie grabber and its reported, the video/account wouldnt be taken down."
vulgar content,"Ive wrote a review before but my problem was fixed. The only problem there is now is how the moderation of reports work.  If someone is literally twerking on video and its reported, yall wouldnt take it down. If someone makes graphic sexual stuff, some would be taken down and some wouldnt. Same goes for stolen content. Please fix this."
fail to start,It not working . Always give reset owa error and gets crashed after that
fail to start,"Always crashes now, was useful before!"
fail to install,"Why did ZTE u930 installation fail?	"
fail to login or register,I tried to register 4 times but each time it said "Unable to register at this time". Not a good way to start for a long time Shop-rite customer
praise,Let goo so cool download this app like you need it like Damm so cool 10000000000000000000000000000/10
vulgar content,I love TikTok there are so many funny things that happen on it and they are so many people that do stupid things and too many sexy ladies I wish I was their type because I definitely will spend all my money on her I would have to get three jobs and this is not a girl talking it's a man and I'm just using my Mom's page cuz my phone is broke
payment deception,"What is this garbage? I paid money for stopping ads, it is still showing ads.. Ripoff"
vulgar content,This app is so good but creepy at the same time I can't believe this I love it and if it expired me to be a scrunchie maker
bad performance,i honestly love tik tok!! but you should be able tonplay it on tablets and have no phone number to have a account. i was gonna download it on my tablet and as soon as i got on it was just laggy!
virus,"**Software has virus	"
fail to delete,"The front page of an invalid credit card can't be deleted	"
privacy or information leak,"This software itself is very good, but divulging the phone number is bad. After downloading, there will be all kinds of MLM calls. It's too speechless	"
bad performance,I downloaded it and almost crashed my phone
virus,Viruses and spam came up with this application when I downloaded it and almost crashed my phone
payment deception,"Just deduct money for software refund	"
inconsistency between functionality and description,"Definitely a good one here. I dont usually rate things, but this one has worked out well for me. My only complaint would be the inconsistent messaging performance. Sometimes someone will send me a couple messages in a row but i will only get one of them"
fail to install,"idk if its play store, but its not letting me download it, and ive veen trying to many times and too many days. please help! i really do love Tiktok its a great app but its just this one problem."
praise,"Very good. It can help sleep. Although the effect is not very great, everything else is fake. The disadvantage is that the local custom mix can't be used. The downloaded mix will disappear by itself, but it's still highly praised	"
bad performance,"After the software was downloaded, the material was not very good. I almost didn't save some of the materials I had to buy and save. There were very few character actions. Many scenes were done online by myself or I couldn't make this comment. I called it for more than ten minutes because after the software was downloaded, everything on my mobile phone was jammed and I went to uninstall it	"
permission abuse,"You need to allow it access to your pictures for it to work. There is no reason for that. If you say no, it shuts down. Very stupid. You dont need access to my pictures to tell me who won gold."
permission abuse,"What do you want to do with phone permissions?	"
fail to start,"Really bad. Messy, half baked, many features not working or not working well or properly. So much money samsung and such a rubbish app. Shame on you."
payment deception,It says free but WHEN YOU DOWNLAOD IT YOU NEED TO PAY
inconsistency between functionality and description,"The sleeping slot is too fake. It's so different from the picture. Even the school can't find the class QR code and can't scan out the answer. There's nothing!!	"
illegal background behavior,keep background running
fail to exit,"keep background running	"
praise,I love this app so much! it has changed my life completely. I definitely dont regret getting this app ive been on it for 2 years now and its great so far :) all though there is drama I still like it.
vulgar content,I love this app so much! it has changed my life completely. I definitely dont regret getting this app ive been on it for 2 years now and its great so far :) all though there is drama I still like it. Also people are getting a lot of hate and there are a lot of homophobic people and racist people on this app. I forgot to mention that there are a lot of disgusting and inappropriate people
illegal redirection,Even after adding unable to start notification?. It still redirects to this page even after installing and asks to.install.
app repackaging,It's not an official version.
virus,"It's not an official version. Be careful it's poisonous	"
app ranking fraud,"I dare not play with this comment	"
excessive network traffic,"Cheat the flow of small software, who will regret it!	"
fail to retrieve content,Only gives 404 error message
fail to login or register,"Why don't you log in	"
vulgar content,I'm new here ! But I lov it my grandson ? told me bout it its pretty ? fun I spend hours watching ? ? now quite entertaining i stay laughing ? for hours & also the creepy paranormal viedos keep me up at night im 56 & have to leave light on lmao ?
inconsistency between functionality and description,We never got this app to work as described.  Tried on two different phones.
fail to start,Useless. Just stopped working. Keeps on asking to reset data..
fail to login or register,"The login page doesn't go in at all	"
bad performance,cpu overload after being opened
bad performance,Increased phone temperature after being opened
ad disruption,Too many ads there is an ad after each test you do to tell if it is a lie or not
drive-by download,sorry wont let me download just wanted to rate you thanks
virus,DO NOT DOWNLOAD THIS APP  FULL OF DIRTY OLD SAD BASTERDS AND MY PHONE BEEPS VERY LOUD EVERY NOW AND THEN BECAUSE THIS IS A THIRD PARTY APP. VIRUS VIRUS VIRUS
fail to login or register,"It's too rubbish to get in. Can you improve it	"
app repackaging,"Why is mine a cracked version	"
vulgar content,"Love the app videos are educational and informal , funny, sexy"
fail to start,"App worked well on Android Samsung6 until today. Just crashes upon launch. Neither update or reinstall resolved issue. Disappointing, because I was enjoying the app and VR Olympics experience, until now."
ad disruption,RAPID AIDS IM MEAN ADS!-!
vulgar content,"It seems so violent. I'll teach you to have children	"
payment deception,"Junk software junk Unicom didn't use its software to automatically deduct me 10 yuan a month	"
privacy or information leak,Microsoft better buy this now ima be very mad if they dont infinity out of 10 one more thing facebook steals your information to but its for america and plus all the teen left so they just mad someone stole there idea lol peace out peeps :D
app ranking fraud,cannot do anything unless you provide a praise
ad disruption,An ad after every click and cannot do anything unless you provide a rating
virus,"Kaspersky detected the virus	"
app repackaging,"Gundisa assembly bar has a cracked version that can bind genuine games and a Chinese version of steam porting version. Pay attention to it quickly	"
ad disruption,"negative comment!!!! I just checked a problem with the browser, but I couldn't return the bad content. I had to uninstall and reload. Before, I also sent a circle of friends and microblog to boast that the browser is simple and has no advertising. Now hurry to delete my previous remarks	"
app ranking fraud,The praise is brushed
payment deception,Why the bloody heck you have to PAY for this?!?!?!?!?!?!
fail to delete,"cannot be unloaded	"
fail to start,"I'm speechless if I always flash back	"
fail to login or register,Only 1 Star  As I try to login to my business email however server is found but not able to login..  Please resolve this issue.
vulgar content,Good app... Needs improvement... And a working effective report system for all the perverts here
ad disruption,"Keep advertising once a minute	"
virus,FULL OF VIRUSES DO NOT DOWNLOAD
fail to login or register,"Can't log in?????	"
payment deception,"It was deleted. It was installed in order to comment. After the comment, it was deleted. It cheated me 10 yuan. No one answered the phone. It's rubbish. There are few comments. I'm angry today. Hum (¨s ^) ¨r!	"
fail to install,"Pass the customs and pass the time is that Android 7 is incompatible	"
privacy or information leak,This app is danger to privacy.. this app access your contacts which is utmost reason for this.. anybody can report for u without any reason and can send you behind the prison.. anybody can abuse you and send u absurd pic without intimation..this app can track location and respective authorities can handcuff you for only just a complaint..this app is very bad. Google play must remove such kind of bogus app
app repackaging,I haven't tried it yet but one of my friend said that this app is fake but I still dont believe my friend but when I saw the comments I wanted to try the app and I think I will try it
app ranking fraud,full of fake comment
praise,I love this app it is sooo idicting this is not a fake comment... I love this app I really hope it never goes away
payment deception,"The principle is similar to that of mobile phone remote control. The computer is novel but unsafe. I really don't know where this software comes from. The self-confidence is 3 ~ 5 yuan per hour. The appraisal is completed	"
payment deception,"So you have to be careful about online love. Let you go to her. You have to think about all kinds of wine saucers and tea saucers. You have to talk about the sick dead in your family for a few days. Don't believe that you have no money to make money. Now these watches are not afraid of retribution. The whole family is fine for them. You must think more about it, or you will definitely regret it, especially the eight photos More than 50% are liars. Pay attention to yourself	"
virus,"Is there any virus in the app? Keep reminding me to update it and then update it. Shit!	"
bad performance,"Cool 8050 perfect crash	"
vulgar content,I love this app I laugh my a## off it has everything in it music dance girly stuff men stuff sext stuff hey check it out.
fail to start,Crashed whenever i would try to use it
privacy or information leak,"The account is still in there. More than 1000 photos are gone. Netease cloud photo album is rotten. It's no longer in use	"
app ranking fraud,"No, it's really good	"
vulgar content,It's fun to watch and sexy
privacy or information leak,these guys are Accessing to much of your personal information.
permission abuse,I instantly uninstalled this app because these guys are Accessing to much of your personal information.
virus,"God, I can't get on and return. I thought I was trapped by a Trojan horse. The phone of the working bank directly frozen the card	"
vulgar content,I think it is very creepy and scary when you read it at night
virus,"Don't play games with viruses	"
app repackaging,"Mine is a cracked version	"
ad disruption,Ad factory
fail to install,"Go! Not installed	"
fail to retrieve content,Unable to retrieve anything. It just stays on fetching. Fix problem
vulgar content,Love it but it needs to get dirty gacha off of it and racist people
fail to start,"Excuse me, what the hell is flash back?	"
fail to install,"It looks fun. You can't install a liar!	"
praise,amazing let me download it plze now
fail to install,"Go and ask for it. I can't uninstall it. If I can't install it, it will prompt me that there is a problem with the network connection. This is wireless ang. I'll ha ha	"
bad performance,"What software? Broken app needs money and Caton ippon8plus	"
fail to start,After updating chrome the app stopped working. Please fix this bug..
praise,"This game is poisonous. I can't stop. For this game, I sleep later than dogs and get up earlier than chickens	"
drive-by download,Why create new app and force everyone to download when old one worked just fine.
ad disruption,Ads ads and ads
bad performance,"Card screen crash	"
app ranking fraud,Was suspicious of the featured reviews but it is true: this app has more ads than Time Square... I love Peggo.tv but this is not the same.
excessive network traffic,"Bad software that swindles traffic	"
inconsistency between functionality and description,It's so inconsistent and never really works. I get the message 'something went wrong' 3 out of 4 times I try to use it
privacy or information leak,Even though there stealing my data got to give em 5 stars
payment deception,This app sucks who wants to pay 40 dollars just to text someone
fail to exit,"How do you quit? It's fun, but I can't find a way to quit	"
virus,"It's really rubbish. Other software can sweep it out. It can't even treat the cool dog as a virus. Speechless o__ O¡­	"
payment deception,"Don't go down the hole. It's 100 yuan	"
drive-by download,Always have to download same app many time in new update
fail to retrieve content,"I have to read 60 famous works in my life. I don't know how to open them. Why is it blank	"
ad disruption,Tooo many ads. Too much overtaking my phone with pop ups etc . Filters not working. Too much useless stuff.
app ranking fraud,"E487 - > brush app praise on behalf of others, improve your application ranking, support mainstream application market price and the lowest connection in the whole network 3 o 3 nine thousand seven hundred and sixty-nine 3 five 3	"
praise,It won't let me download it but I had this app and have a private account if your a kid but it's awesome
illegal redirection,"To download 3 games, you have to pay for each game for 3 minutes to activate	"
app repackaging,"Pirated cut rope -- shameless	"
inconsistency between functionality and description,"I can't get in at all. It's not the same as the picture	"
excessive network traffic,"Just now I bought my own mouse and keyboard. I don't know how to consume traffic	"
bad performance,"Garbage plays once and crashes once	"
fail to login or register,"This app is so trash compared to the apple version cuz u cant get past the unexpected error while logging in, have u guys tried drinking bleach?"
fail to start,Not working in my minecraft
fail to login or register,Downloaded this app as instructed and still cannot access  the "mobile" settings to connect Pandora. Please fix or advise. Thank you
